times,real number of connections,estimated number of connections
1542365734.281093,1,1
1542365734.282937,1,1
1542365734.284409,1,1
1542365734.317487,1,1
1542365734.318705,1,1
1542365734.319323,1,1
1542365734.320039,1,1
1542365734.321982,1,1
1542365734.349339,1,1
1542365734.35331,1,1
1542365734.35941,1,1
1542365734.359458,1,1
1542365734.361834,1,1
1542365734.390294,1,1
1542365734.401271,1,1
1542365734.403273,1,1
1542365734.403656,1,1
1542365734.426707,1,1
1542365734.427995,1,1
1542365734.430102,1,1
1542365734.430127,1,1
1542365734.430163,1,1
1542365734.430178,1,1
1542365734.447854,1,1
1542365734.461136,1,1
1542365734.461193,1,1
1542365734.462566,1,1
1542365734.463475,1,1
1542365734.464546,1,1
1542365734.464913,1,1
1542365734.4673,1,1
1542365734.468217,1,1
1542365734.469148,1,1
1542365734.470074,1,1
1542365734.470484,1,1
1542365734.472068,1,1
1542365734.473092,1,1
1542365734.473987,1,1
1542365734.474923,1,1
1542365734.475311,1,1
1542365734.500504,1,1
1542365734.513518,1,1
1542365734.513938,1,1
1542365734.515468,1,1
1542365734.516419,1,1
1542365734.517331,1,1
1542365734.518268,1,1
1542365734.518673,1,1
1542365734.520253,1,1
1542365734.520699,1,1
1542365734.520738,1,1
1542365734.520775,1,1
1542365734.522291,1,1
1542365734.523464,1,1
1542365734.524303,1,1
1542365734.525178,1,1
1542365734.525472,1,1
1542365734.52721,1,1
1542365734.528319,1,1
1542365734.528662,1,1
1542365734.52979,1,1
1542365734.554185,1,1
1542365734.554341,1,1
1542365734.554363,1,1
1542365734.554985,1,1
1542365734.558899,1,1
1542365734.570161,1,1
1542365734.578657,1,1
1542365734.57995,1,1
1542365734.581953,1,1
1542365734.584461,1,1
1542365734.584659,1,1
1542365734.585055,1,1
1542365734.58605,1,1
1542365734.586646,1,1
1542365734.587271,1,1
1542365734.587499,1,1
1542365734.588725,1,1
1542365734.603387,1,1
1542365734.603739,1,1
1542365734.604362,1,1
1542365734.60446,1,1
1542365734.604655,1,1
1542365734.604731,1,1
1542365734.618184,1,1
1542365734.620347,1,1
1542365734.682428,1,1
1542365734.691609,1,1
1542365734.711726,1,1
1542365734.713561,1,1
1542365734.747153,1,1
1542365734.786048,1,1
1542365734.811124,1,1
1542365734.81161,1,1
1542365734.812376,1,1
1542365734.813677,1,1
1542365734.814198,1,1
1542365734.815426,1,1
1542365734.815973,1,1
1542365734.834206,1,1
1542365734.834485,1,1
1542365734.837,1,1
1542365734.844738,1,1
1542365734.851376,1,1
1542365734.855229,1,1
1542365734.856664,1,1
1542365734.883077,1,1
1542365734.887807,1,1
1542365734.888301,1,1
1542365734.88893,1,1
1542365734.889556,1,1
1542365734.890376,1,1
1542365734.890878,1,1
1542365734.891167,1,1
1542365734.892717,1,1
1542365734.893143,1,1
1542365734.893252,1,1
1542365734.894946,1,1
1542365734.895534,1,1
1542365734.896147,1,1
1542365734.896313,1,1
1542365734.915944,1,1
1542365734.916518,1,1
1542365734.917324,1,1
1542365734.917937,1,1
1542365734.91852,1,1
1542365734.918932,1,1
1542365734.919073,1,1
1542365734.919845,1,1
1542365734.925952,1,1
1542365734.926123,1,1
1542365734.927799,1,1
1542365734.928084,1,1
1542365734.929818,1,1
1542365734.930092,1,1
1542365734.931398,1,1
1542365734.93152,1,1
1542365734.93549,1,1
1542365734.936031,1,1
1542365734.936647,1,1
1542365734.936758,1,1
1542365734.938399,1,1
1542365734.939659,1,1
1542365734.941387,1,1
1542365734.941545,1,1
1542365734.943067,1,1
1542365734.94641,1,1
1542365734.948657,1,1
1542365734.94988,1,1
1542365734.961125,1,1
1542365734.970134,1,1
1542365734.971405,1,1
1542365734.977997,1,1
1542365734.989116,1,1
1542365735.016818,1,1
1542365735.018247,1,1
1542365735.020527,1,1
1542365735.021851,1,1
1542365735.023909,1,1
1542365735.026395,1,1
1542365735.027683,1,1
1542365735.030969,1,1
1542365735.032269,1,1
1542365735.034945,1,1
1542365735.036124,1,1
1542365735.03872,1,1
1542365735.040175,1,1
1542365735.043509,1,1
1542365735.044796,1,1
1542365735.047565,1,1
1542365735.055306,1,1
1542365735.058602,1,1
1542365735.059516,1,1
1542365735.059916,1,1
1542365735.061469,1,1
1542365735.0624,1,1
1542365735.063322,1,1
1542365735.064526,1,1
1542365735.066262,1,1
1542365735.067276,1,1
1542365735.068124,1,1
1542365735.06946,1,1
1542365735.090481,1,1
1542365735.091017,1,1
1542365735.091942,1,1
1542365735.092828,1,1
1542365735.093293,1,1
1542365735.093318,1,1
1542365735.095027,1,1
1542365735.095912,1,1
1542365735.096339,1,1
1542365735.098546,1,1
1542365735.099469,1,1
1542365735.124238,1,1
1542365735.124332,1,1
1542365735.12599,1,1
1542365735.127857,1,1
1542365735.12989,1,1
1542365735.131724,1,1
1542365735.133064,1,1
1542365735.135597,1,1
1542365735.137463,1,1
1542365735.139824,1,1
1542365735.141663,1,1
